"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202147,2021-22,Influenza Hospitalization (Avg 7 Day),8,HHS Region,10.57
202204,2021-22,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.27
202211,2021-22,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.82
202220,2021-22,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.74
202230,2021-22,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.13
202140,2021-22,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0
202140,2021-22,Influenza Hospital Admissions,1,HHS Region,0
202140,2021-22,Influenza Hospitalization (Avg 7 Day),1,HHS Region,1.57
202140,2021-22,Average patients with influenza in ICU,1,HHS Region,0
202140,2021-22,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.13
202140,2021-22,Influenza Hospital Admissions,2,HHS Region,40
202140,2021-22,Influenza Hospitalization (Avg 7 Day),2,HHS Region,84.86
202140,2021-22,Average patients with influenza in ICU,2,HHS Region,7
202140,2021-22,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.1
202140,2021-22,Influenza Hospital Admissions,3,HHS Region,32
202140,2021-22,Influenza Hospitalization (Avg 7 Day),3,HHS Region,38.71
202140,2021-22,Average patients with influenza in ICU,3,HHS Region,10.86
202140,2021-22,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.11
202140,2021-22,Influenza Hospital Admissions,4,HHS Region,71
202140,2021-22,Influenza Hospitalization (Avg 7 Day),4,HHS Region,52.43
202140,2021-22,Average patients with influenza in ICU,4,HHS Region,13.57
202140,2021-22,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.06
202140,2021-22,Influenza Hospital Admissions,5,HHS Region,32
202140,2021-22,Influenza Hospitalization (Avg 7 Day),5,HHS Region,23
202140,2021-22,Average patients with influenza in ICU,5,HHS Region,6.71
202147,2021-22,Average patients with influenza in ICU,8,HHS Region,0
202147,2021-22,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.09
202147,2021-22,Influenza Hospital Admissions,9,HHS Region,44
202147,2021-22,Influenza Hospitalization (Avg 7 Day),9,HHS Region,34.71
202147,2021-22,Average patients with influenza in ICU,9,HHS Region,3.43
202147,2021-22,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.06
202147,2021-22,Influenza Hospital Admissions,10,HHS Region,8
202147,2021-22,Influenza Hospitalization (Avg 7 Day),10,HHS Region,2.86
202147,2021-22,Average patients with influenza in ICU,10,HHS Region,0.14
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.22
202148,2021-22,Influenza Hospital Admissions,1,HHS Region,33
202148,2021-22,Influenza Hospitalization (Avg 7 Day),1,HHS Region,14.71
202148,2021-22,Average patients with influenza in ICU,1,HHS Region,1.43
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.3
202148,2021-22,Influenza Hospital Admissions,2,HHS Region,96
202148,2021-22,Influenza Hospitalization (Avg 7 Day),2,HHS Region,117.14
202148,2021-22,Average patients with influenza in ICU,2,HHS Region,15.14
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.32
202148,2021-22,Influenza Hospital Admissions,3,HHS Region,99
202148,2021-22,Influenza Hospitalization (Avg 7 Day),3,HHS Region,71.71
202148,2021-22,Average patients with influenza in ICU,3,HHS Region,16.71
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.29
202148,2021-22,Influenza Hospital Admissions,4,HHS Region,192
202148,2021-22,Influenza Hospitalization (Avg 7 Day),4,HHS Region,124.86
202148,2021-22,Average patients with influenza in ICU,4,HHS Region,24
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.27
202148,2021-22,Influenza Hospital Admissions,5,HHS Region,142
202148,2021-22,Influenza Hospitalization (Avg 7 Day),5,HHS Region,89.14
202148,2021-22,Average patients with influenza in ICU,5,HHS Region,10.29
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.19
202148,2021-22,Influenza Hospital Admissions,6,HHS Region,83
202148,2021-22,Influenza Hospitalization (Avg 7 Day),6,HHS Region,50.86
202148,2021-22,Average patients with influenza in ICU,6,HHS Region,7.71
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.33
202148,2021-22,Influenza Hospital Admissions,7,HHS Region,47
202148,2021-22,Influenza Hospitalization (Avg 7 Day),7,HHS Region,17.29
202148,2021-22,Average patients with influenza in ICU,7,HHS Region,1.14
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.29
202148,2021-22,Influenza Hospital Admissions,8,HHS Region,36
202148,2021-22,Influenza Hospitalization (Avg 7 Day),8,HHS Region,17.43
202148,2021-22,Average patients with influenza in ICU,8,HHS Region,0.43
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.14
202148,2021-22,Influenza Hospital Admissions,9,HHS Region,71
202148,2021-22,Influenza Hospitalization (Avg 7 Day),9,HHS Region,44.57
202148,2021-22,Average patients with influenza in ICU,9,HHS Region,3.57
202148,2021-22,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.03
202148,2021-22,Influenza Hospital Admissions,10,HHS Region,5
202148,2021-22,Influenza Hospitalization (Avg 7 Day),10,HHS Region,3.86
202148,2021-22,Average patients with influenza in ICU,10,HHS Region,0
202149,2021-22,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.26
202149,2021-22,Influenza Hospital Admissions,1,HHS Region,39
202149,2021-22,Influenza Hospitalization (Avg 7 Day),1,HHS Region,18.57
202149,2021-22,Average patients with influenza in ICU,1,HHS Region,3.71
202149,2021-22,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.44
202149,2021-22,Influenza Hospital Admissions,2,HHS Region,139
202204,2021-22,Influenza Hospital Admissions,5,HHS Region,144
202204,2021-22,Influenza Hospitalization (Avg 7 Day),5,HHS Region,168.43
202204,2021-22,Average patients with influenza in ICU,5,HHS Region,18.86
202204,2021-22,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.27
202204,2021-22,Influenza Hospital Admissions,6,HHS Region,116
202204,2021-22,Influenza Hospitalization (Avg 7 Day),6,HHS Region,93.43
202204,2021-22,Average patients with influenza in ICU,6,HHS Region,21.71
202204,2021-22,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.6
202204,2021-22,Influenza Hospital Admissions,7,HHS Region,85
202204,2021-22,Influenza Hospitalization (Avg 7 Day),7,HHS Region,57.71
202204,2021-22,Average patients with influenza in ICU,7,HHS Region,7.14
202204,2021-22,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.36
202204,2021-22,Influenza Hospital Admissions,8,HHS Region,44
202204,2021-22,Influenza Hospitalization (Avg 7 Day),8,HHS Region,54.71
202204,2021-22,Average patients with influenza in ICU,8,HHS Region,9
202204,2021-22,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.11
202204,2021-22,Influenza Hospital Admissions,9,HHS Region,56
202204,2021-22,Influenza Hospitalization (Avg 7 Day),9,HHS Region,54.29
202204,2021-22,Average patients with influenza in ICU,9,HHS Region,8.71
202204,2021-22,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.07
202204,2021-22,Influenza Hospital Admissions,10,HHS Region,10
202204,2021-22,Influenza Hospitalization (Avg 7 Day),10,HHS Region,11.14
202204,2021-22,Average patients with influenza in ICU,10,HHS Region,1.57
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.27
202205,2021-22,Influenza Hospital Admissions,1,HHS Region,40
202205,2021-22,Influenza Hospitalization (Avg 7 Day),1,HHS Region,22.29
202205,2021-22,Average patients with influenza in ICU,1,HHS Region,1.43
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.11
202205,2021-22,Influenza Hospital Admissions,2,HHS Region,36
202205,2021-22,Influenza Hospitalization (Avg 7 Day),2,HHS Region,54.86
202205,2021-22,Average patients with influenza in ICU,2,HHS Region,13.29
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.29
202205,2021-22,Influenza Hospital Admissions,3,HHS Region,88
202205,2021-22,Influenza Hospitalization (Avg 7 Day),3,HHS Region,68.43
202205,2021-22,Average patients with influenza in ICU,3,HHS Region,14.86
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.3
202205,2021-22,Influenza Hospital Admissions,4,HHS Region,199
202205,2021-22,Influenza Hospitalization (Avg 7 Day),4,HHS Region,154.43
202205,2021-22,Average patients with influenza in ICU,4,HHS Region,37.43
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.27
202205,2021-22,Influenza Hospital Admissions,5,HHS Region,140
202205,2021-22,Influenza Hospitalization (Avg 7 Day),5,HHS Region,170
202205,2021-22,Average patients with influenza in ICU,5,HHS Region,20.57
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.41
202205,2021-22,Influenza Hospital Admissions,6,HHS Region,174
202205,2021-22,Influenza Hospitalization (Avg 7 Day),6,HHS Region,118.71
202205,2021-22,Average patients with influenza in ICU,6,HHS Region,22
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.76
202205,2021-22,Influenza Hospital Admissions,7,HHS Region,107
202205,2021-22,Influenza Hospitalization (Avg 7 Day),7,HHS Region,53.71
202205,2021-22,Average patients with influenza in ICU,7,HHS Region,7.14
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.42
202205,2021-22,Influenza Hospital Admissions,8,HHS Region,52
202205,2021-22,Influenza Hospitalization (Avg 7 Day),8,HHS Region,39.57
202205,2021-22,Average patients with influenza in ICU,8,HHS Region,4.71
202205,2021-22,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.13
202205,2021-22,Influenza Hospital Admissions,9,HHS Region,68
202205,2021-22,Influenza Hospitalization (Avg 7 Day),9,HHS Region,67.86
202205,2021-22,Average patients with influenza in ICU,9,HHS Region,9.43
