"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.39
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.24
202336,2022-23,Influenza Hospital Admissions,,National,787
202336,2022-23,Influenza Hospitalization (Avg 7 Day),,National,718.71
202336,2022-23,Average patients with influenza in ICU,,National,153
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.25
202337,2022-23,Influenza Hospital Admissions,,National,815
202337,2022-23,Influenza Hospitalization (Avg 7 Day),,National,741.29
202337,2022-23,Average patients with influenza in ICU,,National,155.29
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.26
202338,2022-23,Influenza Hospital Admissions,,National,873
202338,2022-23,Influenza Hospitalization (Avg 7 Day),,National,747
202338,2022-23,Average patients with influenza in ICU,,National,153.43
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,1.22
202243,2022-23,Influenza Hospital Admissions,,National,4032
202243,2022-23,Influenza Hospitalization (Avg 7 Day),,National,2137.57
202243,2022-23,Average patients with influenza in ICU,,National,321.43
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,2.16
202302,2022-23,Influenza Hospital Admissions,,National,7158
202302,2022-23,Influenza Hospitalization (Avg 7 Day),,National,7386.71
202302,2022-23,Average patients with influenza in ICU,,National,1246.86
202303,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,1.34
202303,2022-23,Influenza Hospital Admissions,,National,4427
202303,2022-23,Influenza Hospitalization (Avg 7 Day),,National,4524.57
202303,2022-23,Average patients with influenza in ICU,,National,801.86
202312,2022-23,Influenza Hospital Admissions,,National,1281
202312,2022-23,Influenza Hospitalization (Avg 7 Day),,National,1012.43
202312,2022-23,Average patients with influenza in ICU,,National,197.57
202313,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.38
202313,2022-23,Influenza Hospital Admissions,,National,1268
202313,2022-23,Influenza Hospitalization (Avg 7 Day),,National,999.29
202313,2022-23,Average patients with influenza in ICU,,National,201.14
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.25
202324,2022-23,Influenza Hospital Admissions,,National,837
202324,2022-23,Influenza Hospitalization (Avg 7 Day),,National,737.29
202324,2022-23,Average patients with influenza in ICU,,National,154.86
202325,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.24
202325,2022-23,Influenza Hospital Admissions,,National,811
202325,2022-23,Influenza Hospitalization (Avg 7 Day),,National,723.43
202325,2022-23,Average patients with influenza in ICU,,National,153.71
202339,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.31
202339,2022-23,Influenza Hospital Admissions,,National,1015
202339,2022-23,Influenza Hospitalization (Avg 7 Day),,National,808.43
202339,2022-23,Average patients with influenza in ICU,,National,159.86
202314,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.36
202314,2022-23,Influenza Hospital Admissions,,National,1184
202314,2022-23,Influenza Hospitalization (Avg 7 Day),,National,985.43
202314,2022-23,Average patients with influenza in ICU,,National,187.29
202326,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.24
202326,2022-23,Influenza Hospital Admissions,,National,796
202326,2022-23,Influenza Hospitalization (Avg 7 Day),,National,707.29
202326,2022-23,Average patients with influenza in ICU,,National,155.29
202244,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,1.87
202244,2022-23,Influenza Hospital Admissions,,National,6202
202244,2022-23,Influenza Hospitalization (Avg 7 Day),,National,3291.43
202244,2022-23,Average patients with influenza in ICU,,National,475.14
202245,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,2.51
202245,2022-23,Influenza Hospital Admissions,,National,8329
202245,2022-23,Influenza Hospitalization (Avg 7 Day),,National,4636.14
202245,2022-23,Average patients with influenza in ICU,,National,644
202304,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.92
202304,2022-23,Influenza Hospital Admissions,,National,3038
202304,2022-23,Influenza Hospitalization (Avg 7 Day),,National,3034.29
202304,2022-23,Average patients with influenza in ICU,,National,536.86
202315,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.32
202315,2022-23,Influenza Hospital Admissions,,National,1049
202315,2022-23,Influenza Hospitalization (Avg 7 Day),,National,872.29
202315,2022-23,Average patients with influenza in ICU,,National,178.14
202316,2022-23,Influenza Hospital Admissions Rate Per 100k,,National,0.29
202316,2022-23,Influenza Hospital Admissions,,National,975
