"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202048,2020-21,Influenza Hospitalization (Avg 7 Day),7,HHS Region,19
202104,2020-21,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.25
202121,2020-21,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.03
202130,2020-21,Influenza Hospitalization (Avg 7 Day),4,HHS Region,70.29
202139,2020-21,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.01
202045,2020-21,Influenza Hospitalization (Avg 7 Day),9,HHS Region,79
202045,2020-21,Average patients with influenza in ICU,9,HHS Region,8.29
202045,2020-21,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.01
202045,2020-21,Influenza Hospital Admissions,10,HHS Region,1
202045,2020-21,Influenza Hospitalization (Avg 7 Day),10,HHS Region,1.86
202045,2020-21,Average patients with influenza in ICU,10,HHS Region,0.43
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.03
202046,2020-21,Influenza Hospital Admissions,1,HHS Region,5
202046,2020-21,Influenza Hospitalization (Avg 7 Day),1,HHS Region,3.29
202046,2020-21,Average patients with influenza in ICU,1,HHS Region,0.71
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.07
202046,2020-21,Influenza Hospital Admissions,2,HHS Region,23
202046,2020-21,Influenza Hospitalization (Avg 7 Day),2,HHS Region,25.29
202046,2020-21,Average patients with influenza in ICU,2,HHS Region,5.86
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.1
202046,2020-21,Influenza Hospital Admissions,3,HHS Region,30
202046,2020-21,Influenza Hospitalization (Avg 7 Day),3,HHS Region,16.86
202046,2020-21,Average patients with influenza in ICU,3,HHS Region,4.86
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.22
202046,2020-21,Influenza Hospital Admissions,4,HHS Region,147
202046,2020-21,Influenza Hospitalization (Avg 7 Day),4,HHS Region,92.14
202046,2020-21,Average patients with influenza in ICU,4,HHS Region,25
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.11
202046,2020-21,Influenza Hospital Admissions,5,HHS Region,60
202046,2020-21,Influenza Hospitalization (Avg 7 Day),5,HHS Region,36.29
202046,2020-21,Average patients with influenza in ICU,5,HHS Region,6.14
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.42
202046,2020-21,Influenza Hospital Admissions,6,HHS Region,181
202046,2020-21,Influenza Hospitalization (Avg 7 Day),6,HHS Region,126.43
202046,2020-21,Average patients with influenza in ICU,6,HHS Region,16.71
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.22
202046,2020-21,Influenza Hospital Admissions,7,HHS Region,31
202046,2020-21,Influenza Hospitalization (Avg 7 Day),7,HHS Region,14.86
202046,2020-21,Average patients with influenza in ICU,7,HHS Region,6.43
202046,2020-21,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.11
202040,2020-21,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0
202040,2020-21,Influenza Hospital Admissions,1,HHS Region,0
202040,2020-21,Influenza Hospitalization (Avg 7 Day),1,HHS Region,0
202040,2020-21,Average patients with influenza in ICU,1,HHS Region,0
202040,2020-21,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0
202040,2020-21,Influenza Hospital Admissions,2,HHS Region,0
202040,2020-21,Influenza Hospitalization (Avg 7 Day),2,HHS Region,0
202040,2020-21,Average patients with influenza in ICU,2,HHS Region,0
202040,2020-21,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0
202040,2020-21,Influenza Hospital Admissions,3,HHS Region,0
202040,2020-21,Influenza Hospitalization (Avg 7 Day),3,HHS Region,0
202040,2020-21,Average patients with influenza in ICU,3,HHS Region,0
202040,2020-21,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0
202040,2020-21,Influenza Hospital Admissions,4,HHS Region,0
