"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202346,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,1.01
202346,2023-24,Influenza Hospital Admissions,,National,3357
202346,2023-24,Influenza Hospitalization (Avg 7 Day),,National,2161
202346,2023-24,Average patients with influenza in ICU,,National,366.43
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,3.7
202404,2023-24,Influenza Hospital Admissions,,National,12276
202404,2023-24,Influenza Hospitalization (Avg 7 Day),,National,9582
202404,2023-24,Average patients with influenza in ICU,,National,1614.86
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,3.35
202405,2023-24,Influenza Hospital Admissions,,National,11118
202405,2023-24,Influenza Hospitalization (Avg 7 Day),,National,8645.57
202405,2023-24,Average patients with influenza in ICU,,National,1498.57
202417,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,0.7
202417,2023-24,Influenza Hospital Admissions,,National,2329
202417,2023-24,Influenza Hospitalization (Avg 7 Day),,National,2232.43
202417,2023-24,Average patients with influenza in ICU,,National,367.29
202418,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,0.44
202418,2023-24,Influenza Hospital Admissions,,National,1461
202418,2023-24,Influenza Hospitalization (Avg 7 Day),,National,1421
202418,2023-24,Average patients with influenza in ICU,,National,179.57
202430,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,0.08
202430,2023-24,Influenza Hospital Admissions,,National,268
202430,2023-24,Influenza Hospitalization (Avg 7 Day),,National,257.57
202430,2023-24,Average patients with influenza in ICU,,National,36.86
202431,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,0.08
202431,2023-24,Influenza Hospital Admissions,,National,274
202431,2023-24,Influenza Hospitalization (Avg 7 Day),,National,229.57
202431,2023-24,Average patients with influenza in ICU,,National,31.71
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,3.27
202406,2023-24,Influenza Hospital Admissions,,National,10849
202406,2023-24,Influenza Hospitalization (Avg 7 Day),,National,7873
202406,2023-24,Average patients with influenza in ICU,,National,1340.71
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,,National,0.25
202419,2023-24,Influenza Hospital Admissions,,National,832
202419,2023-24,Influenza Hospitalization (Avg 7 Day),,National,915.29
202419,2023-24,Average patients with influenza in ICU,,National,101.29
