"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season,""""""""""""""""""""""""""""""" and will be presented with the public health and clinical labs combined."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
X,X,X,X
X,X,X,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
0,3,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,3,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,2,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,2,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,2,0,X
0,1,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,3,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,1,0,X
0,1,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
1,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,1,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,2,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,2,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,2,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,1,0,X
0,4,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,4,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,5,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,5,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,4,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,8,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,5,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,11,0,X
0,0,0,X
X,X,X,X
0,2,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,3,0,X
0,4,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,1,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,3,0,X
0,11,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,13,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,6,0,X
0,7,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,3,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,2,0,X
0,7,0,X
0,4,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,2,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,1,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,1,0,X
X,X,X,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,3,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,3,0,X
0,8,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,1,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,1,0,X
X,X,X,X
0,0,0,X
0,0,0,X
X,X,X,X
0,2,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,2,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,2,0,X
0,0,0,X
X,X,X,X
0,0,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,3,0,X
0,4,0,X
X,X,X,X
0,0,0,X
0,0,0,X
0,0,0,X
X,X,X,X
0,0,0,X
0,1,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,0,0,X
0,1,0,X
